experiment,corrupted_accuracy,intrinsic_data_loss_pct,avg_cleaned_accuracy
01_missing_text,0.41765,0.0,0.4469720220722364
02_broken_chars,0.5027,0.0,0.5093698678232135
03_swapped_text,0.44175,0.0,0.4532866165718928
04_missing_labels,0.5151818288807815,15.0,0.5224432966339762
05_swapped_labels,0.47015,0.0,0.4829095970361348
06_combined_broken_chars_missing_text,0.47975,0.0,0.49200818485523384
07_combined_swap_text_labels,0.4624,0.0,0.47289948233861145
08_heavy_missing,0.4306010322437427,10.0,0.4560006564592769
09_all_corruptions,0.4613,0.0,0.4733104052456197
